sample,transport,af,as,bb,cf,crg,cg,dt,de,er,ff,ls,pf,saf,sg,slf,up,vc,low,med,high,,,,,,,,,,,,,,,,,,,,
32,Unknown,0.03,0.20,0.65,0.40,0.03,0.15,0.03,0.90,1.00,0.03,0.20,1.00,0.45,0.08,0.13,0.85,0.70,0.55,0.30,0.15,,,,,,,,,,,,,,,,,,,,
33,Unknown,0.21,0.08,0.46,0.38,0.05,0.15,0.23,0.49,1.00,0.13,0.21,1.00,0.18,0.13,0.18,0.97,1.00,0.64,0.33,0.03,,,,,,,,,,,,,,,,,,,,
34,Aeolian,0.06,0.06,NaN,0.00,NaN,0.06,NaN,0.75,0.75,NaN,0.06,0.75,0.00,NaN,0.00,0.06,0.06,0.00,0.50,0.06,,,,,,,,,,,,,,,,,,,,
35,Aeolian,0.06,0.06,NaN,0.06,NaN,0.06,NaN,0.75,0.75,NaN,0.06,0.75,0.00,NaN,0.00,0.06,0.06,0.50,0.06,0.00,,,,,,,,,,,,,,,,,,,,
M. AVG,Aeolian,0.20,0.40,0.31,0.50,NaN,0.27,NaN,0.48,0.90,NaN,0.40,0.59,0.18,NaN,0.28,NaN,0.48,0.31,0.52,0.18,,,,,,,,,,,,,,,,,,,,
45,Fluvial,0.28,0.23,0.22,0.39,0.17,0.00,0.00,0.06,0.72,0.10,0.26,NaN,0.10,0.10,0.30,0.00,0.25,0.26,0.65,0.10,,,,,,,,,,,,,,,,,,,,
46,Fluvial,0.18,0.22,0.33,0.39,0.21,0.05,0.05,0.22,0.49,0.08,0.19,NaN,0.26,0.15,0.35,0.00,0.21,0.28,0.60,0.07,,,,,,,,,,,,,,,,,,,,
47,Fluvial,0.29,0.21,0.27,0.34,0.11,0.05,0.04,0.13,0.66,0.14,0.14,NaN,0.32,0.14,0.23,0.04,0.32,0.45,0.50,0.05,,,,,,,,,,,,,,,,,,,,
48,Fluvial,0.54,0.00,NaN,0.06,0.00,0.00,0.00,0.45,0.64,0.02,0.00,0.45,0.00,0.00,0.08,0.00,0.61,0.59,0.39,0.08,,,,,,,,,,,,,,,,,,,,
49,Fluvial,0.40,0.00,NaN,0.18,0.00,0.00,0.00,0.14,0.56,0.00,0.00,0.03,0.02,0.00,0.21,0.00,0.53,0.35,0.42,0.18,,,,,,,,,,,,,,,,,,,,
M. AVG,Fluvial,NaN,0.43,0.32,0.71,0.12,0.10,0.03,NaN,0.28,0.13,0.51,0.27,0.13,0.05,0.63,0.27,0.45,0.04,0.53,0.40,,,,,,,,,,,,,,,,,,,,
36,Glacial,0.36,0.11,0.16,0.55,0.10,0.22,0.12,0.75,0.02,0.08,0.14,0.45,0.44,0.35,0.86,0.26,0.20,0.06,0.60,0.34,,,,,,,,,,,,,,,,,,,,
37,Glacial,0.23,0.04,0.05,0.61,0.07,0.18,0.14,0.64,0.05,0.00,0.09,0.46,0.18,0.19,0.94,0.28,0.06,0.08,0.72,0.20,,,,,,,,,,,,,,,,,,,,
38,Glacial,0.43,0.16,0.10,0.59,0.07,0.40,0.14,0.67,0.04,0.08,0.17,0.59,0.58,0.30,0.95,0.29,0.29,0.05,0.64,0.31,,,,,,,,,,,,,,,,,,,,
39,Glacial,0.31,0.12,0.03,0.72,0.06,0.15,0.13,0.74,0.10,0.02,0.16,0.49,0.23,0.23,0.96,0.33,0.14,0.03,0.70,0.27,,,,,,,,,,,,,,,,,,,,
40,Glacial,0.44,0.02,0.06,0.58,0.05,0.17,0.14,0.71,0.03,0.08,0.07,0.41,0.34,0.28,0.87,0.24,0.10,0.07,0.73,0.20,,,,,,,,,,,,,,,,,,,,
41,Glacial,0.24,0.05,0.10,0.61,0.04,0.25,0.07,0.61,0.00,0.03,0.10,0.31,0.28,0.22,0.94,0.28,0.01,0.11,0.68,0.21,,,,,,,,,,,,,,,,,,,,
42,Glacial,0.22,0.03,0.10,0.75,0.03,0.15,0.04,0.73,0.01,0.04,0.11,0.35,0.09,0.17,0.98,0.54,0.06,0.02,0.73,0.25,,,,,,,,,,,,,,,,,,,,
43,Glacial,0.18,0.05,0.17,0.71,0.03,0.17,0.08,0.61,0.00,0.01,0.15,0.28,0.23,0.18,0.99,0.34,0.12,0.05,0.76,0.19,,,,,,,,,,,,,,,,,,,,
44,Glacial,0.46,0.13,0.24,0.62,0.11,0.41,0.17,0.62,0.03,0.11,0.11,0.47,0.39,0.36,0.94,0.34,0.11,0.11,0.66,0.23,,,,,,,,,,,,,,,,,,,,
50,Glacial,0.46,0.02,NaN,0.51,0.00,0.10,0.20,0.18,0.18,0.02,0.13,0.17,0.46,0.13,0.46,0.17,0.20,0.05,0.20,0.58,,,,,,,,,,,,,,,,,,,,
51,Glacial,0.38,0.00,NaN,0.44,0.00,0.19,0.34,0.49,0.30,0.00,0.10,0.50,0.34,0.30,0.36,0.00,0.33,0.29,0.39,0.44,,,,,,,,,,,,,,,,,,,,
52,Glacial,0.46,0.00,NaN,0.44,0.00,0.20,0.34,0.43,0.37,0.00,0.20,0.45,0.37,0.33,0.56,0.00,0.30,0.30,0.37,0.49,,,,,,,,,,,,,,,,,,,,
53,Glacial,0.39,0.03,NaN,0.39,0.06,0.16,0.39,0.17,0.26,0.00,0.26,0.21,0.37,0.32,0.46,0.00,0.20,0.13,0.26,0.44,,,,,,,,,,,,,,,,,,,,
54,Glacial,0.47,0.04,NaN,0.44,0.07,0.21,0.49,0.12,0.16,0.00,0.20,0.16,0.49,0.34,0.48,0.00,0.11,0.20,0.31,0.58,,,,,,,,,,,,,,,,,,,,
55,Glacial,0.45,0.21,NaN,0.51,0.07,0.27,0.63,0.19,0.11,0.03,0.26,0.07,0.46,0.37,0.51,0.00,0.07,0.19,0.37,0.47,,,,,,,,,,,,,,,,,,,,
M. AVG,Glacial,NaN,0.36,NaN,0.57,NaN,0.33,NaN,NaN,0.22,NaN,0.31,0.23,0.23,NaN,0.50,NaN,0.27,0.16,0.43,0.36,,,,,,,,,,,,,,,,,,,,
