sample,transport,af,as,bb,cf,crg,cg,dt,de,er,ff,ls,pf,saf,sg,slf,up,vc,low,med,high
A1,Aeolian,0.23,0.32,0.26,0.42,0.35,0.19,0.16,0.26,1.00,0.06,0.29,0.71,0.26,0.26,0.35,0.61,0.26,0.32,0.39,0.29
A2,Aeolian,0.06,0.32,0.29,0.47,0.15,0.15,0.24,0.56,0.97,0.38,0.38,0.74,0.47,0.18,0.35,0.59,0.15,0.29,0.32,0.38
A3,Aeolian,0.13,0.27,0.20,0.40,0.40,0.53,0.23,0.43,1.00,0.13,0.23,0.93,0.33,0.20,0.33,0.67,0.67,0.43,0.37,0.20
A8,Aeolian,0.11,0.18,0.43,0.14,0.07,0.16,0.07,0.57,0.98,0.07,0.09,0.32,0.02,0.07,0.14,0.43,0.61,0.52,0.43,0.05
A9,Aeolian,0.17,0.17,0.52,0.35,0.17,0.13,0.15,0.71,1.00,0.08,0.10,0.27,0.06,0.21,0.23,0.38,0.83,0.33,0.54,0.13
C1,Aeolian,0.23,0.68,0.15,0.77,NaN,0.15,NaN,0.37,0.83,NaN,0.80,0.67,0.13,NaN,0.20,NaN,0.30,0.18,0.68,0.13
E1,Aeolian,0.60,0.73,0.33,0.93,NaN,0.93,NaN,0.53,0.80,0.00,0.87,0.73,0.07,NaN,0.60,0.00,0.87,0.07,0.87,0.06
E2,Aeolian,0.47,0.87,0.27,0.93,NaN,0.80,NaN,0.33,0.13,0.27,0.73,0.67,0.20,NaN,0.40,0.27,0.20,0.07,0.67,0.27
AVG,Aeolian,0.20,0.40,0.31,0.50,NaN,0.27,NaN,0.48,0.90,NaN,0.40,0.59,0.18,NaN,0.28,NaN,0.48,0.31,0.52,0.18
A4,Fluvial,0.23,0.77,0.58,0.71,0.10,0.23,0.45,0.29,0.29,0.45,0.87,0.55,0.87,0.26,0.71,0.16,0.26,0.00,0.19,0.81
A7,Fluvial,0.15,0.48,0.40,0.53,0.13,0.15,0.25,0.40,0.48,0.38,0.70,0.75,0.65,0.15,0.55,0.28,0.30,0.05,0.43,0.53
B1,Fluvial,0.16,0.52,0.12,0.74,0.22,0.02,0.03,0.79,0.26,0.06,0.54,0.30,0.16,0.06,0.68,0.44,0.30,0.04,0.62,0.33
B2,Fluvial,0.11,0.54,0.08,0.76,0.16,0.05,0.02,0.82,0.34,0.12,0.66,0.37,0.12,0.02,0.68,0.26,0.34,0.02,0.53,0.44
B4,Fluvial,0.09,0.46,0.07,0.70,0.16,0.02,0.01,0.89,0.33,0.04,0.53,0.61,0.17,0.03,0.64,0.35,0.40,0.01,0.56,0.42
B5,Fluvial,0.01,0.48,0.06,0.66,0.06,0.04,0.03,0.80,0.29,0.24,0.66,0.16,0.13,0.02,0.72,0.36,0.15,0.04,0.54,0.42
D2,Fluvial,NaN,0.37,0.92,0.70,0.25,0.35,0.11,NaN,0.18,0.27,0.27,0.18,0.11,0.29,0.47,0.25,0.19,0.17,0.56,0.23
D3,Fluvial,NaN,0.33,0.81,0.50,0.07,0.48,0.03,NaN,0.07,0.20,0.16,0.09,0.12,0.29,0.38,0.23,0.48,0.14,0.40,0.35
D4,Fluvial,NaN,0.36,0.94,0.60,0.06,0.36,0.03,NaN,0.13,0.21,0.20,0.01,0.07,0.18,0.54,0.11,0.72,0.10,0.48,0.36
D5,Fluvial,NaN,0.25,0.92,0.70,0.03,0.26,0.04,NaN,0.23,0.18,0.30,0.04,0.07,0.09,0.48,0.10,0.84,0.08,0.46,0.39
AVG,Fluvial,NaN,0.41,0.49,0.67,0.13,0.20,0.05,NaN,0.24,0.17,0.43,0.24,0.14,0.12,0.57,0.26,0.43,0.07,0.51,0.38
A5,Glacial,0.23,0.65,0.60,0.65,0.05,0.33,0.16,0.91,0.91,0.26,0.63,0.70,0.44,0.44,0.81,0.72,0.60,0.00,0.53,0.47
A6,Glacial,0.25,0.53,0.22,0.50,0.06,0.11,0.22,0.47,0.50,0.19,0.53,0.69,0.56,0.22,0.61,0.47,0.11,0.06,0.31,0.64
B3,Glacial,0.00,0.58,0.10,0.54,0.02,0.12,0.06,0.78,0.12,0.28,0.74,0.26,0.22,0.04,0.82,0.20,0.02,0.04,0.52,0.44
B6,Glacial,0.00,0.48,0.10,0.65,0.04,0.21,0.04,0.81,0.19,0.35,0.71,0.10,0.21,0.13,0.92,0.44,0.02,0.06,0.56,0.38
C2,Glacial,0.15,0.50,0.05,0.60,NaN,0.13,NaN,0.23,0.88,NaN,0.48,0.88,0.08,NaN,0.20,NaN,0.25,0.68,0.33,0.00
D1,Glacial,NaN,0.29,0.96,0.87,0.35,0.33,0.08,NaN,0.02,0.42,0.27,0.15,0.02,0.50,0.50,0.23,0.04,0.21,0.60,0.15
F1,Glacial,0.40,0.14,NaN,0.51,0.07,0.16,0.36,0.20,0.22,0.12,0.16,0.16,0.40,0.35,0.55,0.02,0.26,0.17,0.26,0.55
F2,Glacial,0.38,0.09,NaN,0.49,0.04,0.26,0.22,0.47,0.23,0.05,0.07,0.16,0.29,0.25,0.59,0.01,0.20,0.04,0.37,0.61
F3,Glacial,0.57,0.33,NaN,0.60,0.03,0.49,0.39,0.09,0.41,0.02,0.30,0.06,0.64,0.45,0.63,0.07,0.03,0.05,0.42,0.57
F4,Glacial,0.27,0.06,NaN,0.33,0.00,0.25,0.21,0.30,0.20,0.03,0.09,0.26,0.25,0.21,0.28,0.00,0.17,0.30,0.39,0.31
F5,Glacial,0.47,0.16,NaN,0.60,0.06,0.53,0.45,0.10,0.48,0.03,0.14,0.07,0.46,0.52,0.64,0.05,0.03,0.19,0.30,0.50
F6,Glacial,0.21,0.24,NaN,0.61,0.04,0.31,0.36,0.36,0.29,0.02,0.27,0.27,0.37,0.45,0.54,0.04,0.06,0.26,0.30,0.45
F7,Glacial,0.34,0.21,NaN,0.53,0.15,0.31,0.37,0.36,0.20,0.08,0.26,0.27,0.38,0.36,0.45,0.10,0.03,0.12,0.14,0.29
F8,Glacial,0.35,0.14,NaN,0.46,0.00,0.18,0.27,0.24,0.26,0.03,0.11,0.12,0.30,0.24,0.38,0.00,0.07,0.39,0.31,0.51
F9,Glacial,0.35,0.24,NaN,0.29,0.00,0.31,0.30,0.15,0.21,0.03,0.37,0.12,0.32,0.28,0.25,0.04,0.13,0.30,0.37,0.30
F10,Glacial,0.18,0.09,NaN,0.20,0.00,0.05,0.13,0.13,0.21,0.04,0.11,0.09,0.12,0.06,0.16,0.00,0.15,0.34,0.38,0.20
AVG,Glacial,NaN,0.33,NaN,0.56,NaN,0.25,NaN,NaN,0.33,NaN,0.37,0.29,0.30,NaN,0.55,NaN,0.13,0.20,0.40,0.39
